service_name,address,latitude,longitude,service_types,service_description,last_updated_at_UTC
Cleanaway Armidale Solid Waste Depot,"295 Mann Street, Armidale, NSW, 2350",-30.514288,151.641755,Solid waste services,"Cleanaway Armidale offers end to end solid waste management solutions for residents as well as commercial and industrial businesses. Proudly employing locals and supporting local business through our operations, we are an active part of the community and the preferred waste management contractor for Armidale Regional Councils.",11-Dec-2021 15:37:09
Cleanaway Allerton Street Albany Solid Waste Depot,"12 Allerton Street, Albany, WA, 6330",-35.019758,117.842441,Solid waste services,"Conveniently located at 12 Allerton Road, the Albany office of Cleanaway provides the full scope of solid waste services. We offer sustainable services for domestic and industrial clients, ensuring customers can choose an environmentally responsible solution for their requirements.",11-Dec-2021 15:37:09
Cleanaway Albany Transfer Station & MRF,"2-16 Cuming Road & 37 Maxwell Street, Albany, WA, 6330",-35.0108063,117.862467,"Solid waste services, Office",Solid Waste Services throughout Albany,11-Dec-2021 15:37:09
Cleanaway Albury-Wodonga Solid Waste Services,"26 Reiff St, Lavington, NSW, 2641",-36.037913,146.964581,Solid waste services,"Located in Albury Wodonga, our Lavington Solid Waste Services site is a Material Recovery Facility (MRF) and depot for our services into the southern New South Wales and northern Victoria region. Services include general waste collection, commingled recycling and liquid waste services. We work with councils and commercial industries to collect, recover material, recycling and responsible treatment of your waste, ensuring that optimal environmental outcomes are met.",11-Dec-2021 15:37:09
Cleanaway Ayr Solid Waste Depot,"Mackenzie Street, Ayr, QLD, 4807",-19.565093,147.388493,"Solid waste services, Office","Cleanaway Ayr offers municipal general waste and green waste collection, and recycling services for Burdekin Shire. We also collect solid waste for businesses. Contact us for more information about our products and services.",11-Dec-2021 15:37:09
Cleanaway Alexandra Solid Waste Services,"4-8 Station Street, Alexandra, VIC, 3714",-37.183192,145.712031,Solid waste services,"Cleanaway provides the best solid waste management services for the regional centre of Alexandra. Our team has many years of experience in the industry, giving us the expertise to ensure professionalism and quality with every project we undertake.",11-Dec-2021 15:37:09
Cleanaway Ashmore Solid Waste Services,"50-60 Harper St, Molendinar QLD 4214",-27.9849479,153.3610452,Solid waste services,"Cleanaway Ashmore provides commercial and industrial solid waste and recycling services in the Northern NSW and Stapylton areas. Our total waste management services include commercial front lift, rear lift, hook lift capabilities and general waste bulk bins.",11-Dec-2021 15:37:09
Cleanaway Daniels Wingfield Medical Waste Services,"44-46 Francis Rd, Wingfield, SA, 5017",-34.844581,138.548196,Cleanaway Daniels,"Cleanaway Daniels (formerly Daniels Health Australia) Wingfield specialises in the compliant collection, treatment and disposal of all medical and health related wastes. We are fully conversant with all regulatory requirements, including WA health operational directives.",11-Dec-2021 15:37:09
Cleanaway Alice Springs Solid Waste Depot,"6 Wilkinson Street, Ciccone, NT, 0870",-23.700021,133.871345,Solid waste services,"Right in the heart of the Australian outback, Cleanaway Alice Springs offers extensive waste management services for residents and businesses. Our solid waste depot has been active for the past 10 years. What sets us apart is our understanding of local needs. We are part of the community, which allows us to tailor our services to your needs. We focus on municipal kerbside bin collection, secured destruction services, and Roll-On/Roll-Off bins.",11-Dec-2021 15:37:09
Cleanaway Daniels Yatala Medical Waste Services,"Unit 4/63 Burnside Road, Yatala, QLD, 4207",-27.7510666,153.2447872,Cleanaway Daniels,"Cleanaway Daniels (formerly Daniels Health Australia) Yatala offers industry-leading medical waste solutions, collections and treatments across Queensland.",11-Dec-2021 15:37:09
Cleanaway Dardanup Solid Waste Services,"Lot 2, Banksia Road, Dardanup, WA, 6236",-33.4189890,115.7737470,Solid waste services,Dardanup’s Highest Quality Solid Waste Management Services,11-Dec-2021 15:37:09
