service_name,address,latitude,longitude,services_offered,details_url,scrape_ts
Bromelton Energy & Resource Centre,"Lot 1 Beaudesert-Boonah Road, Bromelton QLD",-27.975059190727386,152.92509487274305,Miscellaneous,https://www.cleanaway.com.au/location/bromelton-energy-and-resource-centre/,2024-03-10 23:51:34
Albany Transfer Station & MRF,"2-16 Cuming Road & 37 Maxwell Street, Albany, WA, 6330",-35.01078332713777,117.86331638131479,"Solid waste services, Office",https://www.cleanaway.com.au/location/albany/,2024-03-10 23:51:38
Albury-Wodonga Solid Waste Services,"26 Reiff St, Lavington, NSW, 2641",-36.037913,146.964581,Solid waste services,https://www.cleanaway.com.au/location/lavington/,2024-03-10 23:51:44
Alexandra Solid Waste Services,"4-8 Station Street, Alexandra, VIC, 3714",-37.183192,145.712031,Solid waste services,https://www.cleanaway.com.au/location/alexandra/,2024-03-10 23:51:52
Cleanaway Alice Springs Solid Waste Depot,"6 Wilkinson Street, Ciccone, NT, 0870",-23.700021,133.871345,Solid waste services,https://www.cleanaway.com.au/location/alice-springs/,2024-03-10 23:52:00
Cleanaway Allerton Road Albany Solid Waste Depot,"12 Allerton Road, Albany, WA, 6330",-35.019758,117.842441,Solid waste services,https://www.cleanaway.com.au/location/albany-2/,2024-03-10 23:52:04
Cleanaway Altona - Solid Waste Services,"72/80 Harcourt Rd, Altona, VIC, 3018",-37.850366199805535,144.78138768865674,"Solid waste services, Office",https://www.cleanaway.com.au/location/altona/,2024-03-10 23:52:10
Cleanaway Armidale - Solid Waste Services,"288 Mann St, Armidale, NSW, 2350",-30.51527835194161,151.64309622948613,Solid waste services,https://www.cleanaway.com.au/location/armidale/,2024-03-10 23:52:15
Artarmon Resource Recovery Centre,"12 Lancely Place, Artarmon. NSW 2064",-33.81941739932726,151.18695141885684,Solid waste services,https://www.cleanaway.com.au/location/cleanaway-artarmon-resource-recovery-centre/,2024-03-10 23:52:20
Cleanaway Ashmore Solid Waste Services,"50-60 Harper St, Molendinar QLD 4214",-27.9851011151081,153.36123030773044,Solid waste services,https://www.cleanaway.com.au/location/ashmore/,2024-03-10 23:52:27
Auburn Resource Recovery Centre,"Old Hill Link, Sydney Olympic Park. NSW 2217",-33.84398343886091,151.05823444596416,Solid waste services,https://www.cleanaway.com.au/location/cleanaway-auburn-resource-recovery-centre/,2024-03-10 23:52:32
Cleanaway Ayr - Solid Waste Services,"Mackenzie Street, Ayr, QLD, 4807",-19.56460801156244,147.38776649026067,"Solid waste services, Office",https://www.cleanaway.com.au/location/ayr/,2024-03-10 23:52:38
Cleanaway Bairnsdale Solid Waste Services,"57 Forge Creek Road, Bairnsdale, VIC, 3875",-37.83739425485061,147.61053899247509,Solid waste services,https://www.cleanaway.com.au/location/bairnsdale/,2024-03-10 23:52:44
Cleanaway Batemans Bay - Solid Waste Services,"36 Cranbrook Road, Batemans Bay, NSW, 2536",-35.720454277209235,150.1697287150359,"Solid waste services, Office",https://www.cleanaway.com.au/location/batemans-bay/,2024-03-10 23:52:50
Cleanaway Bathurst - Solid Waste Services,"22 Upfold Street, Bathurst, NSW, 2795",-33.426071238905635,149.58947343947082,"Solid waste services, Office",https://www.cleanaway.com.au/location/bathurst-2/,2024-03-10 23:52:59
Cleanaway Bega - Solid Waste Services,"116 Kerrison Lane, Bega, NSW, 2550",-36.71134645576057,149.8483112523715,"Solid waste services, Office",https://www.cleanaway.com.au/location/bega/,2024-03-10 23:53:04
Cleanaway Belrose Resource Recovery Centre,"End of Crozier Road, Belrose. NSW 2085",-33.71595868590502,151.2117178321567,Solid waste services,https://www.cleanaway.com.au/location/cleanaway-belrose-resource-recovery-centre/,2024-03-10 23:53:06
Benalla,"13 Enterprise Dr, Benalla, VIC, 3672",-36.5432780,146.0141100,Solid waste services,https://www.cleanaway.com.au/location/benalla/,2024-03-10 23:53:12
Cleanaway Beresfield Newcastle - Solid Waste Services,"16 Canavan Drive, Beresfield, NSW, 2320",-32.79962745880024,151.63135034262902,Solid waste services,https://www.cleanaway.com.au/location/beresfield/,2024-03-10 23:53:17
Cleanaway Beresfield CDS Depot,"2 Balbu Close, Beresfield, NSW, 2322",-32.80884244561758,151.63143037534653,Miscellaneous,https://www.cleanaway.com.au/location/beresfield-cds-depot/,2024-03-10 23:53:22
Cleanaway Beresfield - Solid Waste Services,"2 Balbu Close, Beresfield, NSW, 2322",-32.808760,151.631418,Solid waste services,https://www.cleanaway.com.au/location/beresfield-solid-waste/,2024-03-10 23:53:28
Cleanaway Bohle – Liquid Waste Services,"96-102 Enterprise Street, Bohle, QLD, 4818",-19.254033568829474,146.71310062471952,"Liquid waste services, Industrial waste services",https://www.cleanaway.com.au/location/bohle/,2024-03-10 23:53:33
Cleanaway Bohle - Solid Waste Services,"77-97 Enterprise Street, Bohle, QLD, 4818",-19.254777104275867,146.71348655131737,Solid waste services,https://www.cleanaway.com.au/location/bohle-2/,2024-03-10 23:53:38
Cleanaway Bowen - Solid Waste Services,"Reynolds St &, Norris St, Bowen QLD 4805",-20.011933975163764,148.23199791201196,Solid waste services,https://www.cleanaway.com.au/location/bowen/,2024-03-10 23:53:44
Cleanaway Brooklyn Resource Recovery Centre,"174 Old Geelong Road, Brooklyn, VIC, 3012",-37.81864883651084,144.82808276413695,Solid waste services,https://www.cleanaway.com.au/location/brooklyn/,2024-03-10 23:53:49
Cleanaway Broome Solids Waste Services,"18 Archer St, Broome, WA, 6725",-17.981996102562615,122.20599838161814,Solid waste services,https://www.cleanaway.com.au/location/broome/,2024-03-10 23:53:54
Cleanaway Buckley Grove Moolap Depot,"61-65 Buckley Grove, Moolap, VIC 3224",-38.16508975539242,144.42933521027365,Solid waste services,https://www.cleanaway.com.au/location/buckley-grove-moolap/,2024-03-10 23:54:04
Cleanaway Bundaberg East - Solid Waste Services,"Shed 7 - No. 9 Steptoe Street, East Bundaberg, QLD, 4670",-24.864322017617887,152.37487465319953,Solid waste services,https://www.cleanaway.com.au/location/bundaberg-2/,2024-03-10 23:54:11
Cleanaway Bundaberg Liquid Waste Services,"46 University Drive, Bundaberg, QLD, 4670",-24.898466154218628,152.30921473282476,Liquid waste services,https://www.cleanaway.com.au/location/bundaberg/,2024-03-10 23:54:16
Cleanaway Burleigh Heads Industrial Waste Services,"11 Alex Fisher Drive, Burleigh Heads, QLD, 4220",-28.104142115144693,153.4085124092492,Industrial waste services,https://www.cleanaway.com.au/location/burleigh-heads/,2024-03-10 23:54:22
Cleanaway Cairns - Woree Liquid Waste Services,"44-46 Links Dr, Woree, QLD, 4868",-16.957918274408513,145.75211073879282,Liquid waste services,https://www.cleanaway.com.au/location/woree/,2024-03-10 23:54:27
Cairns Greenbank Rd,"63 Greenbank Road, Stratford, QLD, 4870",-16.8695734,145.7404056,Office,https://www.cleanaway.com.au/location/cairns-greenbank-rd/,2024-03-10 23:54:34
Cleanaway Campbellfield Contaminated Water and Workshop Waste Services,"126 Barry Road, Campbellfield, VIC, 3061",-37.66724202087309,144.96513168371325,Liquid waste services,https://www.cleanaway.com.au/location/campbellfield/,2024-03-10 23:54:41
Campbellfield ERS,"84-86 Lara Way, Campbellfield, VIC, 3061",-37.66724293021068,144.96512690776305,"Office, Public Waste Drop-off",https://www.cleanaway.com.au/location/cleanaway-armidale-solid-waste-services-2/,2024-03-10 23:54:47
Cleanaway Chadwick - Solid Waste Services,"41 Simpson Street, Chadwick, WA, 6450",-33.83934506120301,121.8962367468948,"Solid waste services, Office",https://www.cleanaway.com.au/location/esperance-chadwick/,2024-03-10 23:54:53
Cleanaway Clarinda Carroll Road Landfill,"Carroll Road, Clarinda, VIC, 3169",-37.932723984843136,145.09372689856437,Miscellaneous,https://www.cleanaway.com.au/location/clarinda/,2024-03-10 23:54:59
Cleanaway Clayton South Resource Recovery Centre,"cnr Fraser Rd & Deals Rd, Clayton South, VIC, 3169",-37.94525778103721,145.12222022243114,Solid waste services,https://www.cleanaway.com.au/location/clayton-resource-recovery-centre/,2024-03-10 23:55:05
Cleanaway Coffs Harbour - Solid Waste Depot,"754 Pacific Hwy, Boambee, NSW, 2450",-30.34413261205187,153.0689147374826,Solid waste services,https://www.cleanaway.com.au/location/coffs-harbour/,2024-03-10 23:55:11
﻿Cleanaway Coolaroo Material Recovery Facility,"94 Maffra Street, Coolaroo, Vic, 3048",-37.657805235820035,144.94172450275,Solid waste services,https://www.cleanaway.com.au/location/coolaroo/,2024-03-10 23:55:18
Cleanaway Craiglie - Solid Waste Services,"10 Teamsters Close, Craiglie, QLD, 4877",-16.538147,145.467558,Solid waste services,https://www.cleanaway.com.au/location/craiglie/,2024-03-10 23:55:24
Cleanaway Crestmead - Liquid Waste Services,"10 Platinum Street, Crestmead, QLD, 4132",-27.67874837810533,153.07619591827645,Liquid waste services,https://www.cleanaway.com.au/location/crestmead/,2024-03-10 23:55:29
Cleanaway Dandenong Liquid Waste Services,"88-92 Ordish Road, Dandenong South, VIC, 3175",-38.0256031576796,145.1924643073468,Liquid waste services,https://www.cleanaway.com.au/location/dandenong-south-twt/,2024-03-10 23:55:35
"Cleanaway Dandenong Oil, Workshop, and Parts Washer Waste Services","19-21 Berends Drive, Dandenong South, VIC, 3175",-38.029214053474774,145.19611213703328,Liquid waste services,https://www.cleanaway.com.au/location/dandenong-south-nwo/,2024-03-10 23:55:40
Cleanaway Dandenong South SEMTS - Solid Waste Services,"73-85 Thomas Murrell Crescent, Dandenong South, Victoria, 3175",-38.02157293522325,145.19341874916216,"Solid waste services, Transfer Station",https://www.cleanaway.com.au/location/dandenong-semts/,2024-03-10 23:55:44
