page_number,page_url,service_url,service_name,service_address
1,https://www.cleanaway.com.au/contact-us/our-locations/,https://www.cleanaway.com.au/location/bromelton-energy-and-resource-centre/,Bromelton Energy and Resource Centre,"Lot 1 Beaudesert-Boonah Road, Bromelton QLD"
1,https://www.cleanaway.com.au/contact-us/our-locations/,https://www.cleanaway.com.au/location/albany/,Cleanaway Albany Material Recovery Facility,"2-16 Cuming Road & 37 Maxwell Street, Albany, WA, 6330"
1,https://www.cleanaway.com.au/contact-us/our-locations/,https://www.cleanaway.com.au/location/lavington/,Cleanaway Albury-Wodonga Solid Waste Services,"26 Reiff St, Lavington, NSW, 2641"
1,https://www.cleanaway.com.au/contact-us/our-locations/,https://www.cleanaway.com.au/location/alexandra/,Cleanaway Alexandra Solid Waste Services,"4-8 Station Street, Alexandra, VIC, 3714"
1,https://www.cleanaway.com.au/contact-us/our-locations/,https://www.cleanaway.com.au/location/alice-springs/,Cleanaway Alice Springs Solid Waste Depot,"6 Wilkinson Street, Ciccone, NT, 0870"
1,https://www.cleanaway.com.au/contact-us/our-locations/,https://www.cleanaway.com.au/location/albany-2/,Cleanaway Allerton Road Albany Solid Waste Depot,"12 Allerton Road, Albany, WA, 6330"
1,https://www.cleanaway.com.au/contact-us/our-locations/,https://www.cleanaway.com.au/location/altona/,Cleanaway Altona Solid Waste Services,"72/80 Harcourt Rd, Altona, VIC, 3018"
1,https://www.cleanaway.com.au/contact-us/our-locations/,https://www.cleanaway.com.au/location/armidale/,Cleanaway Armidale Solid Waste Depot,"288 Mann St, Armidale, NSW, 2350"
1,https://www.cleanaway.com.au/contact-us/our-locations/,https://www.cleanaway.com.au/location/cleanaway-artarmon-resource-recovery-centre/,Cleanaway Artarmon Resource Recovery Centre,"12 Lancely Place, Artarmon. NSW 2064"
2,https://www.cleanaway.com.au/contact-us/our-locations/?pg=2,https://www.cleanaway.com.au/location/ashmore/,Cleanaway Ashmore Solid Waste Services,"50-60 Harper St, Molendinar QLD 4214"
2,https://www.cleanaway.com.au/contact-us/our-locations/?pg=2,https://www.cleanaway.com.au/location/cleanaway-auburn-resource-recovery-centre/,Cleanaway Auburn Resource Recovery Centre,"Old Hill Link, Sydney Olympic Park, NSW 2217"
2,https://www.cleanaway.com.au/contact-us/our-locations/?pg=2,https://www.cleanaway.com.au/location/ayr/,Cleanaway Ayr Solid Waste Depot,"Mackenzie Street, Ayr, QLD, 4807"
2,https://www.cleanaway.com.au/contact-us/our-locations/?pg=2,https://www.cleanaway.com.au/location/bairnsdale/,Cleanaway Bairnsdale Solid Waste Services,"57 Forge Creek Road, Bairnsdale, VIC, 3875"
2,https://www.cleanaway.com.au/contact-us/our-locations/?pg=2,https://www.cleanaway.com.au/location/batemans-bay/,Cleanaway Batemans Bay Solid Waste Depot,"36 Cranbrook Road, Batemans Bay, NSW, 2536"
2,https://www.cleanaway.com.au/contact-us/our-locations/?pg=2,https://www.cleanaway.com.au/location/bathurst-2/,Cleanaway Bathurst Solid Waste Services,"22 Upfold Street, Bathurst, NSW, 2795"
2,https://www.cleanaway.com.au/contact-us/our-locations/?pg=2,https://www.cleanaway.com.au/location/bega/,Cleanaway Bega Solid Waste Depot,"116 Kerrison Lane, Bega, NSW, 2550"
2,https://www.cleanaway.com.au/contact-us/our-locations/?pg=2,https://www.cleanaway.com.au/location/cleanaway-belrose-resource-recovery-centre/,Cleanaway Belrose Resource Recovery Centre,"End of Crozier Road, Belrose. NSW 2085"
